iter	Passed	Remaining
128	10915	31393
129	11013	31346
130	11101	31269
131	11182	31175
132	11265	31085
133	11344	30986
134	11436	30921
135	11518	30827
136	11595	30723
137	11676	30629
138	11763	30552
139	11847	30465
140	11934	30385
141	12023	30312
142	12107	30226
143	12187	30129
144	12265	30030
145	12342	29925
146	12432	29854
147	12515	29767
148	12599	29681
149	12682	29592
150	12762	29496
151	12839	29396
152	12926	29316
153	13004	29218
154	13079	29112
155	13167	29035
156	13245	28937
157	13333	28860
158	13420	28781
159	13507	28703
160	13590	28617
161	13668	28518
162	13720	28366
163	13772	28216
164	13824	28068
165	13878	27923
166	13948	27813
167	14001	27669
168	14055	27529
169	14103	27376
170	14161	27246
171	14214	27107
172	14280	26992
173	14338	26864
174	14395	26734
175	14447	26596
176	14503	26466
177	14565	26349
178	14618	26214
179	14673	26086
180	14747	25990
181	14799	25858
182	14855	25732
183	14912	25610
184	14963	25478
185	15014	25347
186	15069	25223
187	15121	25094
188	15172	24966
189	15227	24845
190	15293	24741
191	15356	24633
192	15425	24536
193	15485	24425
194	15545	24315
195	15599	24194
196	15655	24079
197	15731	23994
198	15781	23870
199	15840	23760
200	15893	23642
201	15944	23521
202	15999	23407
203	16058	23300
204	16117	23192
205	16171	23079
206	16226	22967
207	16278	22852
208	16331	22739
209	16388	22632
210	16440	22517
211	16496	22409
212	16545	22293
213	16593	22176
214	16645	22064
215	16704	21962
216	16755	21851
217	16810	21745
218	16862	21636
219	16912	21524
220	16963	21415
221	17016	21309
222	17068	21202
223	17127	21103
224	17177	20994
225	17240	20902
226	17295	20800
227	17357	20707
228	17408	20601
229	17459	20495
230	17510	20391
231	17567	20293
232	17624	20195
233	17686	20105
234	17751	20017
235	17805	19917
236	17856	19814
237	17912	19718
238	17972	19626
239	18026	19528
240	18081	19432
241	18142	19342
242	18204	19253
243	18253	19151
244	18324	19072
245	18423	19022
246	18496	18945
247	18563	18862
248	18619	18768
249	18674	18674
250	18728	18579
251	18791	18493
252	18846	18399
253	18900	18305
254	18950	18207
255	19003	18112
256	19064	18026
257	19125	17939
258	19185	17852
259	19241	17761
260	19299	17673
261	19350	17578
262	19409	17490
263	19465	17401
264	19516	17307
265	19568	17214
266	19625	17126
267	19678	17034
268	19734	16946
269	19786	16855
270	19853	16776
271	19912	16691
272	19971	16606
273	20034	16524
274	20093	16439
275	20144	16348
276	20194	16257
277	20243	16165
278	20296	16077
279	20351	15990
280	20407	15905
281	20467	15822
282	20524	15737
283	20584	15656
284	20641	15571
285	20701	15489
286	20757	15405
287	20810	15319
288	20863	15232
289	20919	15148
290	20972	15063
291	21025	14977
292	21076	14890
293	21128	14804
294	21175	14715
295	21233	14633
296	21287	14549
297	21337	14463
298	21390	14379
299	21450	14300
300	21510	14221
301	21584	14151
302	21654	14079
303	21725	14007
304	21811	13945
305	21916	13894
306	21997	13829
307	22056	13749
308	22120	13672
309	22180	13594
310	22245	13519
311	22314	13446
312	22382	13372
313	22447	13296
314	22509	13219
315	22575	13145
316	22635	13067
317	22691	12987
318	22757	12912
319	22828	12841
320	22891	12764
321	22950	12687
322	23004	12606
323	23072	12533
324	23133	12456
325	23194	12380
326	23251	12301
327	23316	12226
328	23376	12150
329	23433	12071
330	23492	11994
331	23551	11917
332	23611	11841
333	23665	11761
334	23720	11683
335	23771	11602
336	23824	11523
337	23876	11443
338	23928	11364
339	23979	11284
340	24033	11206
341	24082	11125
342	24150	11054
343	24201	10975
344	24258	10898
345	24321	10825
346	24377	10748
347	24438	10674
348	24491	10596
349	24562	10526
350	24626	10453
351	24690	10381
352	24755	10308
353	24824	10238
354	24880	10162
355	24941	10088
356	25006	10016
357	25069	9943
358	25124	9867
359	25184	9794
360	25238	9717
361	25293	9642
362	25352	9568
363	25408	9493
364	25462	9417
365	25529	9346
366	25594	9275
367	25650	9200
368	25703	9125
369	25762	9051
370	25818	8977
371	25875	8903
372	25922	8826
373	25970	8749
374	26026	8675
375	26077	8600
376	26143	8529
377	26225	8464
378	26299	8396
379	26362	8325
380	26424	8253
381	26484	8181
382	26563	8114
383	26632	8045
384	26702	7975
385	26765	7904
386	26838	7836
387	26913	7768
388	26984	7700
389	27049	7629
390	27112	7558
391	27199	7493
392	27263	7422
393	27326	7351
394	27392	7281
395	27458	7211
396	27522	7140
397	27586	7069
398	27650	6999
399	27711	6927
